onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPlace	5	5	0.8190574319996813	1
48	18	UnfamPerson	2	1	0.8591116319985304	1
70	18	Object	3	1	n/a	0
92	18	FamPlace	4	5	0.8187033940012043	1
114	18	FamPerson	1	6	0.5870496389979962	1
136	18	FamPerson	1	1	0.626010320000205	1
158	18	Object	3	2	0.7543485749993124	1
180	18	UnfamPerson	2	2	0.6513150589998986	1
202	18	UnfamPlace	5	6	0.7632155190003687	1
224	18	FamPlace	4	4	0.7716271319986845	1
268	18	FamPlace	4	3	0.7073639549998916	1
290	18	UnfamPerson	2	6	0.8513747899996815	1
312	18	FamPerson	1	2	0.8104207659998792	1
334	18	UnfamPlace	5	1	0.6904108710004948	1
356	18	Object	3	6	1.058929094000632	1
378	18	Object	3	4	1.13114437799959	1
400	18	FamPerson	1	3	0.6903128080011811	1
422	18	UnfamPerson	2	4	1.003538044999004	1
444	18	FamPlace	4	1	1.074248696000723	1
466	18	UnfamPlace	5	4	0.9549798199986981	1
510	18	UnfamPlace	5	2	0.9070685759979824	1
532	18	FamPerson	1	5	0.9386544980006875	1
554	18	FamPlace	4	6	1.026345865000621	1
576	18	Object	3	3	n/a	0
598	18	UnfamPerson	2	3	0.8431812829985574	1
620	18	UnfamPerson	2	5	1.018315410998184	1
642	18	FamPerson	1	4	1.058321534001152	1
664	18	FamPlace	4	2	1.146771757001261	1
686	18	Object	3	5	n/a	0
708	18	UnfamPlace	5	3	0.9941100229989388	1
