onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPerson	1	4	0.7300706129999526	1
48	18	UnfamPlace	5	5	n/a	0
70	18	FamPlace	4	4	0.683292161999816	1
92	18	UnfamPerson	2	4	1.010809600999892	1
114	18	Object	3	6	n/a	0
136	18	Object	3	1	n/a	0
158	18	FamPlace	4	5	0.4983769189993836	1
180	18	UnfamPlace	5	6	n/a	0
202	18	FamPerson	1	6	1.282430743999612	1
224	18	UnfamPerson	2	2	1.403075575999537	1
268	18	UnfamPerson	2	6	1.819116915999984	1
290	18	UnfamPlace	5	1	1.851077138999244	1
312	18	Object	3	4	0.7390193319997707	1
334	18	FamPerson	1	1	0.5071058379999158	1
356	18	FamPlace	4	1	0.8345257459995992	1
378	18	FamPlace	4	2	0.8277766969995355	1
400	18	Object	3	2	n/a	0
422	18	UnfamPlace	5	2	n/a	0
444	18	UnfamPerson	2	3	0.5782892369998081	1
466	18	FamPerson	1	5	n/a	0
510	18	FamPerson	1	3	0.659099420999155	1
532	18	Object	3	5	1.403148283999144	1
554	18	UnfamPerson	2	1	0.9228846029991473	1
576	18	FamPlace	4	6	0.8196675489998597	1
598	18	UnfamPlace	5	3	1.203194322999479	1
620	18	UnfamPlace	5	4	n/a	0
642	18	Object	3	3	n/a	0
664	18	UnfamPerson	2	5	1.387048461999257	1
686	18	FamPlace	4	3	0.8663475149996884	1
708	18	FamPerson	1	2	n/a	0
