onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPlace	5	5	0.7177985340003943	1
48	18	UnfamPerson	2	1	0.6619975449993944	1
70	18	Object	3	1	0.7667087089994311	1
92	18	FamPlace	4	5	0.9738170489999902	1
114	18	FamPerson	1	6	0.7657831819997227	1
136	18	FamPerson	1	1	0.85482194999895	1
158	18	Object	3	2	0.8699735319987667	1
180	18	UnfamPerson	2	2	0.7419619960001	1
202	18	UnfamPlace	5	6	1.150958700000047	1
224	18	FamPlace	4	4	0.9271358619989769	1
268	18	FamPlace	4	3	n/a	0
290	18	UnfamPerson	2	6	0.8941777090003598	1
312	18	FamPerson	1	2	0.9903362249988277	1
334	18	UnfamPlace	5	1	0.9261064839993196	1
356	18	Object	3	6	0.6707145830005175	1
378	18	Object	3	4	n/a	0
400	18	FamPerson	1	3	0.7668759999996837	1
422	18	UnfamPerson	2	4	0.862570825000148	1
444	18	FamPlace	4	1	0.9422078669995244	1
466	18	UnfamPlace	5	4	0.9500651199996355	1
510	18	UnfamPlace	5	2	n/a	0
532	18	FamPerson	1	5	0.8705791829997906	1
554	18	FamPlace	4	6	0.942152506999264	1
576	18	Object	3	3	1.037608992999594	1
598	18	UnfamPerson	2	3	1.381899157999214	1
620	18	UnfamPerson	2	5	1.253958133000197	1
642	18	FamPerson	1	4	1.302959151000323	1
664	18	FamPlace	4	2	0.9346971209997719	1
686	18	Object	3	5	0.7022357030000421	1
708	18	UnfamPlace	5	3	0.6150807949998125	1
