onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPlace	4	4	0.786424476999855	1
48	18	UnfamPlace	5	2	1.177758162999453	1
70	18	FamPerson	1	6	0.7861684549998245	1
92	18	Object	3	4	0.8014196719996107	1
114	18	UnfamPerson	2	6	0.7538281919996734	1
136	18	UnfamPerson	2	3	n/a	0
158	18	FamPerson	1	3	1.106007608000255	1
180	18	UnfamPlace	5	4	1.066113670999584	1
202	18	FamPlace	4	6	1.098779410999668	1
224	18	Object	3	6	0.7935404299996662	1
268	18	Object	3	3	0.777822869999909	1
290	18	UnfamPlace	5	5	n/a	0
312	18	UnfamPerson	2	5	1.025575951999599	1
334	18	FamPlace	4	5	1.15436053600024	1
356	18	FamPerson	1	4	0.6499854280000363	1
378	18	FamPerson	1	1	0.6344187089998741	1
400	18	UnfamPerson	2	4	n/a	0
422	18	UnfamPlace	5	6	0.6574000969994813	1
444	18	Object	3	1	n/a	0
466	18	FamPlace	4	2	n/a	0
510	18	FamPlace	4	1	0.6498373550002725	1
532	18	UnfamPerson	2	2	0.7463623009998628	1
554	18	Object	3	2	n/a	0
576	18	FamPerson	1	2	0.9618920940001772	1
598	18	UnfamPlace	5	3	n/a	0
620	18	UnfamPlace	5	1	0.9698442500002784	1
642	18	UnfamPerson	2	1	n/a	0
664	18	Object	3	5	0.9630792079997263	1
686	18	FamPerson	1	5	0.8339690729999347	1
708	18	FamPlace	4	3	n/a	0
