onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPlace	4	4	1.167189444007818	1
48	18	UnfamPlace	5	2	0.8628864810016239	1
70	18	FamPerson	1	6	0.823863880999852	1
92	18	Object	3	4	n/a	0
114	18	UnfamPerson	2	6	1.175197742006276	1
136	18	UnfamPerson	2	3	0.863088925005286	1
158	18	FamPerson	1	3	0.7829379750037333	1
180	18	UnfamPlace	5	4	0.9669887799973367	1
202	18	FamPlace	4	6	0.9108040340070147	1
224	18	Object	3	6	0.7589558900072007	1
268	18	Object	3	3	0.8959983390086563	1
290	18	UnfamPlace	5	5	0.7913969850051217	1
312	18	UnfamPerson	2	5	1.135393853997812	1
334	18	FamPlace	4	5	0.9031301930081099	1
356	18	FamPerson	1	4	0.7591641199978767	1
378	18	FamPerson	1	1	0.8796245270059444	1
400	18	UnfamPerson	2	4	0.8546099520026473	1
422	18	UnfamPlace	5	6	0.8714560119988164	1
444	18	Object	3	1	1.167847553006141	1
466	18	FamPlace	4	2	0.7512198410113342	1
510	18	FamPlace	4	1	0.744088854000438	1
532	18	UnfamPerson	2	2	0.8637250669999048	1
554	18	Object	3	2	0.8949153749999823	1
576	18	FamPerson	1	2	0.8552632229984738	1
598	18	UnfamPlace	5	3	0.7506865920004202	1
620	18	UnfamPlace	5	1	0.7270410620112671	1
642	18	UnfamPerson	2	1	0.6466714940033853	1
664	18	Object	3	5	0.7358285490045091	1
686	18	FamPerson	1	5	n/a	0
708	18	FamPlace	4	3	n/a	0
