onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPlace	4	4	0.8150998860000982	1
48	18	UnfamPlace	5	2	0.8394155939995471	1
70	18	FamPerson	1	6	0.8788257969999904	1
92	18	Object	3	4	0.9185986259999481	1
114	18	UnfamPerson	2	6	1.135041538000223	1
136	18	UnfamPerson	2	3	1.015232849999848	1
158	18	FamPerson	1	3	0.8310307940000712	1
180	18	UnfamPlace	5	4	0.9507591550000143	1
202	18	FamPlace	4	6	0.791133880000416	1
224	18	Object	3	6	0.879937616999996	1
268	18	Object	3	3	0.7915811240000039	1
290	18	UnfamPlace	5	5	0.9105852140000934	1
312	18	UnfamPerson	2	5	0.8957496880002509	1
334	18	FamPlace	4	5	0.8470597129999078	1
356	18	FamPerson	1	4	1.167475268999624	1
378	18	FamPerson	1	1	0.8871622670003489	1
400	18	UnfamPerson	2	4	0.7836910989999524	1
422	18	UnfamPlace	5	6	0.9040411670002868	1
444	18	Object	3	1	0.7912983280002663	1
466	18	FamPlace	4	2	0.886979404000158	1
510	18	FamPlace	4	1	1.030690526000399	1
532	18	UnfamPerson	2	2	0.9992820240004221	1
554	18	Object	3	2	0.7994791869996334	1
576	18	FamPerson	1	2	0.878597310999794	1
598	18	UnfamPlace	5	3	1.022564439000234	1
620	18	UnfamPlace	5	1	0.7908168759995533	1
642	18	UnfamPerson	2	1	0.8791551670001354	1
664	18	Object	3	5	0.8716584229996442	1
686	18	FamPerson	1	5	0.9108067269999083	1
708	18	FamPlace	4	3	1.238511948000451	1
