onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPerson	2	1	0.9285895940001865	1
48	18	Object	3	5	1.048837289000403	1
70	18	FamPerson	1	2	0.9938036250005098	1
92	18	UnfamPlace	5	1	1.185107722000794	1
114	18	FamPlace	4	1	1.000204350000786	1
136	18	FamPlace	4	4	0.928553278000436	1
158	18	FamPerson	1	5	0.9041397740002139	1
180	18	Object	3	6	0.8086733440004537	1
202	18	UnfamPerson	2	5	0.8968242939999982	1
224	18	UnfamPlace	5	4	1.065653109000777	1
268	18	UnfamPlace	5	6	1.008318506000251	1
290	18	Object	3	1	0.9448658970004544	1
312	18	FamPlace	4	3	0.7218444840000302	1
334	18	UnfamPerson	2	3	0.6977642580004613	1
356	18	FamPerson	1	1	0.8249639780005964	1
378	18	FamPerson	1	6	0.9855096480005159	1
400	18	FamPlace	4	5	0.7288775670003815	1
422	18	Object	3	4	0.8338712180002403	1
444	18	UnfamPlace	5	5	0.9297141010001724	1
466	18	UnfamPerson	2	6	0.8895854430002146	1
510	18	UnfamPerson	2	2	0.7689986740006134	1
532	18	FamPlace	4	6	0.8572386580008242	1
554	18	UnfamPlace	5	2	0.9532844990008016	1
576	18	FamPerson	1	4	0.8016173230007553	1
598	18	Object	3	3	0.9127147980007067	1
620	18	Object	3	2	0.8484262060001129	1
642	18	FamPlace	4	2	0.6653991580005822	1
664	18	UnfamPlace	5	3	0.7448263290007162	1
686	18	FamPerson	1	3	0.8091500100008489	1
708	18	UnfamPerson	2	4	0.9536874680006804	1
