onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPerson	2	1	0.7821790100001635	1
48	18	Object	3	5	0.6932034460000978	1
70	18	FamPerson	1	2	0.5343183300001328	1
92	18	UnfamPlace	5	1	0.9253938440001548	1
114	18	FamPlace	4	1	0.9093091110003115	1
136	18	FamPlace	4	4	0.8534489360004045	1
158	18	FamPerson	1	5	0.940965960000085	1
180	18	Object	3	6	1.014453610000146	1
202	18	UnfamPerson	2	5	0.9736758580002061	1
224	18	UnfamPlace	5	4	0.9172509630002423	1
268	18	UnfamPlace	5	6	0.877374305000103	1
290	18	Object	3	1	0.9252202010002293	1
312	18	FamPlace	4	3	1.005110685000091	1
334	18	UnfamPerson	2	3	0.9017284420001488	1
356	18	FamPerson	1	1	0.7252886840001338	1
378	18	FamPerson	1	6	0.8381706590002977	1
400	18	FamPlace	4	5	0.7497710500001631	1
422	18	Object	3	4	0.9582449590002398	1
444	18	UnfamPlace	5	5	0.8215453810003055	1
466	18	UnfamPerson	2	6	0.9654505780004001	1
510	18	UnfamPerson	2	2	1.10112237300018	1
532	18	FamPlace	4	6	0.685281342000053	1
554	18	UnfamPlace	5	2	0.7258120860001327	1
576	18	FamPerson	1	4	0.74209750800037	1
598	18	Object	3	3	1.053952561000187	1
620	18	Object	3	2	0.5340537870001754	1
642	18	FamPlace	4	2	0.8782420410002487	1
664	18	UnfamPlace	5	3	0.8784171080001215	1
686	18	FamPerson	1	3	0.7099829900002987	1
708	18	UnfamPerson	2	4	1.150500557000214	1
