onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	Object	3	4	1.110876456000369	1
48	18	FamPlace	4	2	0.9754277250003724	1
70	18	UnfamPlace	5	5	0.9280530960004398	1
92	18	UnfamPerson	2	2	n/a	0
114	18	FamPerson	1	5	1.119272979000016	1
136	18	FamPerson	1	2	0.792028412000036	1
158	18	UnfamPlace	5	4	0.8155178440001691	1
180	18	FamPlace	4	3	0.8556651620001503	1
202	18	Object	3	5	1.007675978000407	1
224	18	UnfamPerson	2	4	0.7910341750002772	1
268	18	UnfamPerson	2	1	0.6560771180002121	1
290	18	FamPlace	4	1	0.7512366390001262	1
312	18	FamPerson	1	1	0.8318168790001437	1
334	18	Object	3	1	0.8484990700007984	1
356	18	UnfamPlace	5	6	0.8954086800004006	1
378	18	UnfamPlace	5	1	0.9197981350007467	1
400	18	FamPerson	1	6	0.8715760400000363	1
422	18	FamPlace	4	6	0.9276475280003069	1
444	18	UnfamPerson	2	5	0.9115212380002049	1
466	18	Object	3	3	0.9270590050000465	1
510	18	Object	3	2	0.8314888800005065	1
532	18	FamPerson	1	4	0.8153887110001961	1
554	18	UnfamPerson	2	6	0.9197432570008459	1
576	18	UnfamPlace	5	3	0.8162246830006552	1
598	18	FamPlace	4	5	0.6557008310001038	1
620	18	FamPlace	4	4	0.695390019000115	1
642	18	FamPerson	1	3	1.063033424000423	1
664	18	UnfamPerson	2	3	0.9839971520004838	1
686	18	UnfamPlace	5	2	0.8633218040004067	1
708	18	Object	3	6	0.6800779990007868	1
