onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPlace	5	5	1.426595459000055	1
48	18	UnfamPerson	2	1	0.6750753099995563	1
70	18	Object	3	1	0.9872391930002777	1
92	18	FamPlace	4	5	0.9063824630002273	1
114	18	FamPerson	1	6	0.82625231899965	1
136	18	FamPerson	1	1	0.7225678089998837	1
158	18	Object	3	2	0.8987406469996131	1
180	18	UnfamPerson	2	2	0.7556268830003319	1
202	18	UnfamPlace	5	6	0.9783554030000232	1
224	18	FamPlace	4	4	0.7947126829994886	1
268	18	FamPlace	4	3	0.8184433650003484	1
290	18	UnfamPerson	2	6	1.042660793000323	1
312	18	FamPerson	1	2	0.674771774999499	1
334	18	UnfamPlace	5	1	0.8508473729998514	1
356	18	Object	3	6	0.7069407910003065	1
378	18	Object	3	4	0.6510981519995767	1
400	18	FamPerson	1	3	0.8030461589996776	1
422	18	UnfamPerson	2	4	0.8667226199995639	1
444	18	FamPlace	4	1	0.8825224239990348	1
466	18	UnfamPlace	5	4	0.7792825359993003	1
510	18	UnfamPlace	5	2	0.7711885749995417	1
532	18	FamPerson	1	5	0.8985990790006326	1
554	18	FamPlace	4	6	1.362421105999601	1
576	18	Object	3	3	0.8673980010007654	1
598	18	UnfamPerson	2	3	0.6910408029998507	1
620	18	UnfamPerson	2	5	0.7386568279998755	1
642	18	FamPerson	1	4	0.8340455460001976	1
664	18	FamPlace	4	2	0.9314515269998083	1
686	18	Object	3	5	0.8825602649994835	1
708	18	UnfamPlace	5	3	0.9070978710005875	1
