onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPerson	2	1	1.04987707500004	1
48	18	Object	3	5	1.369257774000289	1
70	18	FamPerson	1	2	0.5365215440006068	1
92	18	UnfamPlace	5	1	0.9130287630005114	1
114	18	FamPlace	4	1	0.8572519220006143	1
136	18	FamPlace	4	4	1.35371505600051	1
158	18	FamPerson	1	5	0.7929831999999806	1
180	18	Object	3	6	0.794086998000239	1
202	18	UnfamPerson	2	5	0.6965620880000643	1
224	18	UnfamPlace	5	4	0.8331013589995564	1
268	18	UnfamPlace	5	6	1.129371338000055	1
290	18	Object	3	1	1.168672269999661	1
312	18	FamPlace	4	3	0.9849348170009762	1
334	18	UnfamPerson	2	3	n/a	0
356	18	FamPerson	1	1	0.609154784000566	1
378	18	FamPerson	1	6	0.9613449629996467	1
400	18	FamPlace	4	5	0.7939707189998444	1
422	18	Object	3	4	0.8089995600003022	1
444	18	UnfamPlace	5	5	n/a	0
466	18	UnfamPerson	2	6	n/a	0
510	18	UnfamPerson	2	2	1.297678420000011	1
532	18	FamPlace	4	6	0.3288508929999807	1
554	18	UnfamPlace	5	2	1.161212553999576	1
576	18	FamPerson	1	4	0.9051900419999583	1
598	18	Object	3	3	0.5936737400006677	1
620	18	Object	3	2	0.7211858620012208	1
642	18	FamPlace	4	2	0.8020163490000414	1
664	18	UnfamPlace	5	3	n/a	0
686	18	FamPerson	1	3	0.4740280690002692	1
708	18	UnfamPerson	2	4	0.8651134960000491	1
