onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	Object	3	4	1.387924758000736	1
48	18	FamPlace	4	2	0.820210247000432	1
70	18	UnfamPlace	5	5	0.9246529880001617	1
92	18	UnfamPerson	2	2	1.132730924000498	1
114	18	FamPerson	1	5	1.300021209000079	1
136	18	FamPerson	1	2	1.300397992000399	1
158	18	UnfamPlace	5	4	1.204306622000331	1
180	18	FamPlace	4	3	1.061156329000369	1
202	18	Object	3	5	1.348603070000536	1
224	18	UnfamPerson	2	4	0.924145850000059	1
268	18	UnfamPerson	2	1	1.052275822000411	1
290	18	FamPlace	4	1	0.9732470710005146	1
312	18	FamPerson	1	1	0.8120092910003223	1
334	18	Object	3	1	0.86928995100061	1
356	18	UnfamPlace	5	6	0.9565709620001144	1
378	18	UnfamPlace	5	1	0.8049190820001968	1
400	18	FamPerson	1	6	0.7728958110001258	1
422	18	FamPlace	4	6	0.8522495630004414	1
444	18	UnfamPerson	2	5	1.228838114000609	1
466	18	Object	3	3	0.908753522000552	1
510	18	Object	3	2	0.9083339440003328	1
532	18	FamPerson	1	4	0.821251148000556	1
554	18	UnfamPerson	2	6	0.8613254179999785	1
576	18	UnfamPlace	5	3	0.9010536410005443	1
598	18	FamPlace	4	5	0.8611976470001537	1
620	18	FamPlace	4	4	0.9163608180006122	1
642	18	FamPerson	1	3	0.9328420580004604	1
664	18	UnfamPerson	2	3	0.9329494490002617	1
686	18	UnfamPlace	5	2	0.9480777810003929	1
708	18	Object	3	6	1.285027382999942	1
