onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPlace	5	5	0.8225343070002964	1
48	18	UnfamPerson	2	1	0.9026110640002116	1
70	18	Object	3	1	0.7743627520003429	1
92	18	FamPlace	4	5	1.078659082000286	1
114	18	FamPerson	1	6	0.7354855100002169	1
136	18	FamPerson	1	1	0.5503982610002822	1
158	18	Object	3	2	0.5595779540003605	1
180	18	UnfamPerson	2	2	0.5744273220002469	1
202	18	UnfamPlace	5	6	0.9421045000003687	1
224	18	FamPlace	4	4	0.6542414410000674	1
268	18	FamPlace	4	3	0.6946096540000326	1
290	18	UnfamPerson	2	6	0.7663450009999906	1
312	18	FamPerson	1	2	0.5184582649999356	1
334	18	UnfamPlace	5	1	0.750305660000322	1
356	18	Object	3	6	0.6621335340000769	1
378	18	Object	3	4	0.6389714169999934	1
400	18	FamPerson	1	3	0.519347019000179	1
422	18	UnfamPerson	2	4	0.6786612710002373	1
444	18	FamPlace	4	1	0.686965753000095	1
466	18	UnfamPlace	5	4	0.8060101129999566	1
510	18	UnfamPlace	5	2	0.6230921660003332	1
532	18	FamPerson	1	5	0.9586186910000833	1
554	18	FamPlace	4	6	0.7188289079999777	1
576	18	Object	3	3	0.8469460500000423	1
598	18	UnfamPerson	2	3	0.5990851589999693	1
620	18	UnfamPerson	2	5	0.5905500930002745	1
642	18	FamPerson	1	4	0.7825973340000019	1
664	18	FamPlace	4	2	1.263092753000365	1
686	18	Object	3	5	0.8474006460000965	1
708	18	UnfamPlace	5	3	0.6387562960003379	1
