onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPlace	4	4	0.7853776659999312	1
48	18	UnfamPlace	5	2	0.8577332979998573	1
70	18	FamPerson	1	6	0.8110136499999498	1
92	18	Object	3	4	0.946082400999785	1
114	18	UnfamPerson	2	6	0.98538385799975	1
136	18	UnfamPerson	2	3	0.6978627209996375	1
158	18	FamPerson	1	3	0.7629745019999064	1
180	18	UnfamPlace	5	4	0.7301934379997874	1
202	18	FamPlace	4	6	0.9869850209997821	1
224	18	Object	3	6	0.7781152200000179	1
268	18	Object	3	3	0.6584831479999593	1
290	18	UnfamPlace	5	5	1.106631103999916	1
312	18	UnfamPerson	2	5	1.04245151799978	1
334	18	FamPlace	4	5	0.890880554999967	1
356	18	FamPerson	1	4	0.8099829879997742	1
378	18	FamPerson	1	1	0.6653941380000106	1
400	18	UnfamPerson	2	4	1.017519172999982	1
422	18	UnfamPlace	5	6	1.130678365999756	1
444	18	Object	3	1	0.7941484759999184	1
466	18	FamPlace	4	2	n/a	0
510	18	FamPlace	4	1	0.7623486769998635	1
532	18	UnfamPerson	2	2	n/a	0
554	18	Object	3	2	0.8817387539997981	1
576	18	FamPerson	1	2	1.033437994999986	1
598	18	UnfamPlace	5	3	1.226820726998994	1
620	18	UnfamPlace	5	1	0.9389853819993732	1
642	18	UnfamPerson	2	1	0.9858131039991349	1
664	18	Object	3	5	0.9388283469997987	1
686	18	FamPerson	1	5	0.9776929149993521	1
708	18	FamPlace	4	3	0.8902585219993853	1
